CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
CHACABUCO;-130;650526;5591447;7.5;7.13;3;1;0;0;1;1;0;0;0;-73.2413888888889;-39.8136388888888
CHACABUCO;-150;650507;5591454;4.65;6.98;9;0;1;1;1;2;4;0;0;-73.2416111111111;-39.8135833333333
CHACABUCO;-170;650491;5591460;4.43;7.06;0;0;0;0;0;0;0;0;0;-73.2418055555556;-39.8135277777777
CHACABUCO;-190;650474;5591461;2.55;7.04;0;0;0;0;0;0;0;0;0;-73.2420000000000;-39.8135277777777
CHACABUCO;-210;650450;5591461;5.3;7.22;8;2;2;0;0;1;2;1;0;-73.2422777777777;-39.8135277777777
CHACABUCO;-230;650438;5591464;3.63;7.11;0;0;0;0;0;0;0;0;0;-73.2424166666667;-39.8148888888888
CHACABUCO;-250;650410;5591471;5.96;7.11;5;1;3;0;0;0;1;0;0;-73.2427500000000;-39.8135833333333
CHACABUCO;-270;650393;5591475;6.18;7.1;5;0;0;0;0;2;2;1;0;-73.2429444444445;-39.8134166666666
CHACABUCO;-290;650370;5591478;5.96;7.04;1;1;0;0;0;0;0;0;0;-73.2432222222223;-39.8133888888888
CHACABUCO;-310;650353;5591478;4.51;7.12;0;0;0;0;0;0;0;0;0;-73.2434166666666;-39.8133888888888
CHACABUCO;-330;650334;5591485;4.49;6.99;0;0;0;0;0;0;0;0;0;-73.2436388888889;-39.8133333333333
CHACABUCO;-350;650315;5591492;2.98;7.55;0;0;0;0;0;0;0;0;0;-73.2438611111112;-39.8132777777777
CHACABUCO;-370;650296;5591492;4.47;7.03;0;0;0;0;0;0;0;0;0;-73.2440833333334;-39.8132777777777
CHACABUCO;-390;650275;5591499;3.69;7.07;0;0;0;0;0;0;0;0;0;-73.2443333333333;-39.8132222222222
CHACABUCO;-410;650254;5591502;4.15;6.55;0;0;0;0;0;0;0;0;0;-73.2445833333334;-39.8131944444444
CHACABUCO;-430;650237;5591505;4.48;7.02;0;0;0;0;0;0;0;0;0;-73.2447777777778;-39.8131666666666
CHACABUCO;-450;650216;5591509;6.22;7.02;2;0;0;0;2;0;0;0;0;-73.2450277777778;-39.8131388888888
CHACABUCO;-480;650192;5591512;5.99;8.97;2;0;1;0;0;0;1;0;0;-73.2453055555556;-39.8131111111110
CHACABUCO;-500;650168;5591519;4.85;8.99;0;0;0;0;0;0;0;0;0;-73.2455833333333;-39.8130555555555
CHACABUCO;-520;650149;5591523;5.07;9.01;4;1;1;0;1;1;0;0;0;-73.2458055555556;-39.8130277777777
CAUPOLICAN;0;650379;5591722;5.01;6.25;0;0;0;0;0;0;0;0;0;-73.2431666666667;-39.8111944444444
CAUPOLICAN;-10;650377;5591712;4.96;6.19;1;0;0;0;1;0;0;0;0;-73.2431944444444;-39.8112777777777
